Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,trialEvents,exp,subjectId,date
Japan,1,Where is the longest suspension bridge? ,319,0.613,0,3637.0999999046326,q,S,4153.099999904633,8928.699999809265,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Black,5,What color lipstick did silent movie stars wear?  ,151,1.61,1,8928.699999809265,q,S,3038.0,14108.5,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
What do women want? ,6,"What was the one question Sigmund Freud said he was unable to answer, despite 30 years of research?",291,1.544,2,14108.5,t,W,3865.5999999046326,29031.199999809265,20504.099999904633,24523.099999904633,,,,HRV,HRV_0197,2022-11-30 19:12:53
Catapult ,7,What artillery weapon was launched upon the world in 400 B.C.?  ,140,1.286,3,29031.199999809265,q,S,2390.800000190735,33235.0,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
On a Jell-O box,7,"Where would you see the consumer warning ""Do not use fresh or frozen pineapple, kiwi, ginger-root, papaya, figs, or guava""?",411,1.253,4,33235.0,q,S,4307.299999952316,39322.299999952316,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
NY,5,In which state was the first execution by electric chair?  ,70,1.768,5,39322.39999985695,q,S,3155.9000000953674,44776.199999809265,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
"The code is ""SUX"" ",4,Why has Sioux Falls Regional Airport in South Dakota been trying to change its three-letter airport designation for years?,392,1.923,6,44776.299999952316,q,S,3014.0,50234.699999809265,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
The Ritz (Hotel),5,"F. Scott Fitzgerald wrote a famous short story about ""A Diamond as Big as"" what New York landmark?",39,1.8,7,50234.699999809265,q,S,3227.7000000476837,55779.799999952316,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Cricket,5,"What sport used the term ""home run"" long before baseball?  ",260,0.889,8,55779.799999952316,p,K,2978.7000000476837,60183.59999990463,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
the skin and bones of animals,7,What is gelatin made from?,445,0.918,9,60183.59999990463,p,K,1974.7000000476837,63600.299999952316,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
American Beauty,5,What Oscar-winning Best Picture is named for a type of rose? ,240,1.937,10,63600.299999952316,q,S,2702.0999999046326,68761.79999995232,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Hippopotamus ,5,Which wild mammal in Africa has killed the highest number of people? ,358,0.992,11,68761.79999995232,t,W,2612.399999856949,80460.59999990463,73899.39999985695,77909.09999990463,5,1049.2000000476837,,HRV,HRV_0197,2022-11-30 19:12:53
Avocado,6,Pet parrots can eat most human foods except chocolate and which pitted food?  ,398,1.947,12,80460.59999990463,q,S,2689.5,85609.5,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Nutmeg,3,What slightly hallucinogenic spice did Malcolm X use to get high while in prison? ,407,1.266,13,85609.5,q,S,2900.199999809265,90301.69999980927,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Sri Lanka,7,"The word serendipity comes from Serendip, the Persian name for what island? ",109,1.042,14,90301.69999980927,q,S,2000.8000001907349,93870.0,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
"the white flesh that houses the seeds, known as the placenta",1,What is the hottest part of a chili?,432,1.004,15,93870.0,p,K,2048.5,97454.19999980927,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
"Portland, Oregon",5,What city at the intersection of I-5 and I-84 is home to America's most courteous drivers according to a 2007 study? ,146,0.835,16,97454.19999980927,q,S,2544.100000143051,101356.79999995232,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Lou Gehrig,7,"In 1934, five years before his retirement, who became the first athlete to appear on a Wheaties box? ",53,1.452,17,101357.0,q,S,3009.199999809265,106346.0,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Your blind spot,4,What's the more common name for the retinal scotoma caused by the optic nerve? ,303,0.948,18,106346.0,q,S,2684.0,110506.0,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
A sneeze,3,The air expelled from what can travel at 100 mph?,90,0.69,19,110506.0,q,S,2460.0999999046326,114182.5,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
