Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
cooking,4,"If you suffer from Mageirocophobia, what are you scared of?",438,0.593,0,2751.5,"[{'event': 'fullscreenchange', 'details': 'fullscreenexit', 'performance time': 3439.5, 'date time': 1669835474307}]",q,S,2698.100000023842,6551.700000047684,HRV,HRV_0234,2022-11-30 19:21:13
Cement,4,"The SS Faith, a ship built by Leslie Comyn, was made of what unique material?",105,1.175,1,6551.800000071526,,q,S,1935.5,10176.200000047684,HRV,HRV_0234,2022-11-30 19:21:13
The bishop,5,Which chess piece was originally called 'the elephant'? ,334,1.46,2,10176.200000047684,,q,S,1776.0,13923.400000095367,HRV,HRV_0234,2022-11-30 19:21:13
8 Mile Road ,1,"What road, which names a 2002 film, divides Wayne County from affluent Oakland and Maycomb Counties?",254,1.69,3,13923.400000095367,,q,S,1673.7999999523163,17800.0,HRV,HRV_0234,2022-11-30 19:21:13
Avocados have twice the amount of potassium as bananas. ,1,Which fruit has more potassium than bananas?,455,1.025,4,17800.0,,q,S,1982.2000000476837,21322.100000023842,HRV,HRV_0234,2022-11-30 19:21:13
Aerie,4,What name is given to an eagle's nest?   ,235,1.215,5,21322.100000023842,,q,S,1745.3999999761581,24799.300000071526,HRV,HRV_0234,2022-11-30 19:21:13
Australia,2,"""Welcome Stranger,"" the largest nugget of gold discovered, weighed 158 pounds and was discovered in what country?",5,1.635,6,24799.300000071526,,q,S,2025.3999999761581,28973.600000023842,HRV,HRV_0234,2022-11-30 19:21:13
The Hardy Boys ,2,"Who solves crimes in Bayport, located on Barmet Bay? ",374,0.997,7,28973.800000071526,,q,S,1585.8999999761581,32068.0,HRV,HRV_0234,2022-11-30 19:21:13
Marven (Marvin) Gardens,1,"What Margate City, NJ, housing area has been misspelled on the Monopoly board for almost 80 years?",229,1.846,8,32068.0,,q,S,2676.9000000953674,37103.800000071526,HRV,HRV_0234,2022-11-30 19:21:13
The Millenium Falcon ,3,"What could be built by the largest Lego set ever sold, a 5195-piece monstrosity? ",156,1.368,9,37103.90000009537,,q,S,2275.899999976158,41255.60000002384,HRV,HRV_0234,2022-11-30 19:21:13
Egypt,6,"In what country would you find the port of Rosetta, of Rosetta Stone fame?  ",63,1.618,10,41255.60000002384,,q,S,1904.5,45292.5,HRV,HRV_0234,2022-11-30 19:21:13
Choking on food,4,"Each year, approximately 125 people die of what? ",417,1.625,11,45292.60000002384,,q,S,1557.7000000476837,48986.700000047684,HRV,HRV_0234,2022-11-30 19:21:13
Near Alaska,5,The fictional nation of Brobdingnag from Gulliver's Travels is presumed to be where?,98,1.759,12,48986.800000071526,,q,S,2543.100000023842,53806.40000009537,HRV,HRV_0234,2022-11-30 19:21:13
Eric the Red,5,"According to Norse sagas, who gave Greenland its misleading name in order to attract settlers? ",12,0.684,13,53806.40000009537,,q,S,1886.2999999523163,56890.0,HRV,HRV_0234,2022-11-30 19:21:13
Haricot beans,2,Baked beans are made from what type of bean?,443,1.729,14,56890.10000002384,,q,S,4000.0,63135.300000071526,HRV,HRV_0234,2022-11-30 19:21:13
Benjamin Franklin ,1,"Who carried hundreds of imported books in his Philadelphia shop in the 1730s, the same decade in which he started America's first lending library?",362,1.447,15,63135.300000071526,,q,S,1984.7999999523163,67084.10000002384,HRV,HRV_0234,2022-11-30 19:21:13
Rhesus antigens (Rh or RhD),5,"What is absent in ""negative"" blood types like O negative and AB negative? ",196,1.981,16,67084.10000002384,,q,S,1906.3000000715256,71485.30000007153,HRV,HRV_0234,2022-11-30 19:21:13
Equal Employment Opportunity Commission ,6,"What federal agency, which targets workplace discrimination, was chaired by Clarence Thomas for most of the 1980s?",176,1.927,17,71485.30000007153,,q,S,1937.5,75864.0,HRV,HRV_0234,2022-11-30 19:21:13
Papillae,2,What are the bumps on the tongue that carry the taste buds called? ,137,0.718,18,75864.10000002384,,q,S,1833.8000000715256,78930.80000007153,HRV,HRV_0234,2022-11-30 19:21:13
Shark,5,"What animal is thought to be immune to most all diseases, including cancer? ",132,0.981,19,78930.80000007153,,q,S,1849.6000000238419,82273.70000004768,HRV,HRV_0234,2022-11-30 19:21:13
United States,2,In which country is it most common for divers to be attacked by sharks?,68,0.9,20,82273.90000009537,,q,S,3388.899999976158,87076.20000004768,HRV,HRV_0234,2022-11-30 19:21:13
Pepper and Mustard,3,What are the top two most popular spices in the world?,422,0.528,21,87076.20000004768,,q,S,1624.2000000476837,89743.70000004768,HRV,HRV_0234,2022-11-30 19:21:13
The Commodore 64 ,6,What 1982 successor to the VIC-20 is still the bestselling computer model of all time?,124,1.898,22,89743.70000004768,,q,S,2804.0,94954.5,HRV,HRV_0234,2022-11-30 19:21:13
