Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
Criss-Cross ,7,What was the game of Scrabble originally called? ,286,0.871,0,4873.60000000149,t,W,4553.39999999851,11944.90000000596,15956.10000000149,5,526.0,17872.5,HRV,HRV_0289,2022-11-30 20:33:43
"the Red Hot Chili Peppers, followed closely by Meatloaf",4,Some bands share a name with a food. Which band named after a foodstuff has sold the most records?,439,0.952,1,17872.5,t,W,5802.5,26195.10000000149,30203.90000000596,5,1682.0999999940395,33352.80000000447,HRV,HRV_0289,2022-11-30 20:33:43
Quotations ,7,What did the letter Q originally stand for in NASDAQ?  ,165,1.103,2,33352.80000000447,t,W,4764.39999999851,40632.90000000596,44642.0,5,987.3000000044703,47240.70000000298,HRV,HRV_0289,2022-11-30 20:33:43
Peanuts ,6,What snack food is an ingredient in the explosive dynamite?  ,408,1.215,3,47240.70000000298,p,K,5743.29999999702,,,,,54714.5,HRV,HRV_0289,2022-11-30 20:33:43
Nutmeg,7,What slightly hallucinogenic spice did Malcolm X use to get high while in prison? ,407,1.602,4,54714.60000000149,p,K,4636.70000000298,,,,,61465.0,HRV,HRV_0289,2022-11-30 20:33:43
Marven (Marvin) Gardens,3,"What Margate City, NJ, housing area has been misspelled on the Monopoly board for almost 80 years?",229,0.567,5,61465.0,t,W,4087.10000000149,68065.20000000298,72076.10000000149,5,894.0,74048.80000000447,HRV,HRV_0289,2022-11-30 20:33:43
Anaconda,6,Which species of snake gives birth to its young instead of laying eggs?  ,353,0.706,6,74048.90000000596,p,K,3668.2999999970198,,,,,78936.5,HRV,HRV_0289,2022-11-30 20:33:43
KISS ,1,"According to the Guinness Book of Records, what was the loudest rock band ever?",13,1.635,7,78936.5,p,K,2675.7000000029802,,,,,83760.80000000447,HRV,HRV_0289,2022-11-30 20:33:43
The Guinness Book of World Records,7,What did Ross and Norris McWhirter compile as a promotional giveaway in 1955? ,164,1.193,8,83760.80000000447,t,W,4921.29999999702,91209.10000000149,95220.70000000298,5,994.2999999970198,97920.5,HRV,HRV_0289,2022-11-30 20:33:43
Haricot beans,3,Baked beans are made from what type of bean?,443,1.92,9,97920.70000000298,p,K,4186.60000000149,,,,,104544.80000000447,HRV,HRV_0289,2022-11-30 20:33:43
Brigham Young University,2,What is the most sober school according to The Princeton Review? ,206,0.891,10,104545.0,p,K,4570.0,,,,,110512.5,HRV,HRV_0289,2022-11-30 20:33:43
"A peanut is a legume, not a nut",5,What type of food is a peanut?,447,0.652,11,110512.5,p,K,1812.7000000029802,,,,,113489.80000000447,HRV,HRV_0289,2022-11-30 20:33:43
spiced ham,4,What two words were combined to make the word Spam?,426,0.81,12,113489.80000000447,p,K,3554.1999999955297,,,,,118368.80000000447,HRV,HRV_0289,2022-11-30 20:33:43
General Electric ,7,What's the only stock from the original Dow Jones Industrial Average that's still used in computing the index?,310,0.628,13,118368.90000000596,t,W,3137.2999999970198,124017.10000000149,128028.20000000298,5,965.8999999985099,130128.80000000447,HRV,HRV_0289,2022-11-30 20:33:43
The popsicle,3,Which popular treat was invented by an 11-year-old in California? ,413,0.616,14,130128.80000000447,t,W,5872.39999999851,138512.80000000447,142524.1000000015,5,1177.1000000014901,144832.70000000298,HRV,HRV_0289,2022-11-30 20:33:43
Adlai Stevenson,2,Who twice lost presidential elections to Dwight Eisenhower in the 1950s?  ,375,1.817,15,144832.70000000298,p,K,4303.29999999702,,,,,151464.90000000596,HRV,HRV_0289,2022-11-30 20:33:43
Shark,3,"What animal is thought to be immune to most all diseases, including cancer? ",132,1.56,16,151464.90000000596,p,K,7014.19999999553,,,,,160552.5,HRV,HRV_0289,2022-11-30 20:33:43
Condoleeza (con dolcezza) Rice ,3,"Whose unusual first name is derived from an Italian musical term for ""with sweetness""? ",390,0.546,17,160552.5,t,W,5364.5,168433.20000000298,172447.90000000596,4,933.1999999955297,174440.90000000596,HRV,HRV_0289,2022-11-30 20:33:43
"Third finger, left hand ",1,What part of his body did Keith Richards insure for a million pounds?,243,1.083,18,174440.90000000596,p,K,4765.39999999851,,,,,180800.5,HRV,HRV_0289,2022-11-30 20:33:43
