"","QuestionNum","Question","AnswerUse","Curiosity","Satisfy","More","CurSD","SatSD","MoreSD","KnowNO","KnowTOT","KnowYES","Count","KnowNOprop","KnowYESprop","KnowTOTprop","CurSD_z"
"1",1,"""An Assembly Such as This"" was a retelling of what famous literary work from a different character's point of view?","Pride and Prejudice",58.8,54.5777777777778,42,35.2333777701047,34.0944469544721,36.1625119803267,42,1,2,46,0.91304347826087,0.0434782608695652,0.0217391304347826,0.934737895258029
"2",2,"""Dear Abby"" first appeared in a newspaper of what city?","San Fancisco",57.6666666666667,58.1111111111111,39.1111111111111,33.233373931293,30.7773365391556,30.4234662980289,25,4,7,36,0.694444444444444,0.194444444444444,0.111111111111111,0.232856236185907
"3",3,"""Don't Stand So Close to Me"" by the Police was inspired by what literary work?","Lolita by Vladimir Nabokov",62.7428571428571,51.4857142857143,45.9428571428571,32.6202236595128,32.2356866810422,30.2625208478611,29,4,3,37,0.783783783783784,0.0810810810810811,0.108108108108108,0.0176771841930515
"4",4,"""Gem"" is the trade name for the most common, three-loop design of what?","The paper clip",56.6578947368421,56.5789473684211,44.5,32.2735573427564,31.5951001837117,32.2270240804372,32,4,3,39,0.82051282051282,0.0769230769230769,0.102564102564103,-0.103981947068388
"5",5,"""March"" was a retelling of what famous literary work from a different character's point of view?","Little Women",48.1627906976744,51.4651162790698,28.8837209302326,34.8847969564572,31.8802437981427,28.9327704320317,40,1,4,45,0.888888888888889,0.0888888888888889,0.0222222222222222,0.81240689015906
"6",6,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?","Coca-Cola",59.4594594594595,60.0810810810811,51.0810810810811,34.5788909553169,31.6713841910419,37.3135203217118,34,0,3,37,0.918918918918919,0.0810810810810811,0,0.705052190416085
"7",7,"""Welcome Stranger,"" the largest nugget of gold discovered, weighed 158 pounds and was discovered in what country?","Australia",59.6585365853659,58.5365853658537,43.9024390243902,33.2081388789688,32.0671931738464,31.6368494623349,33,3,4,41,0.804878048780488,0.0975609756097561,0.0731707317073171,0.224000242988117
"9",9,"""White Christmas"" playing on Armed Forces Radio was the secret signal for what event on April 30, 1975?","The evacuation of Saigon",69.7021276595745,60.0425531914894,50.4042553191489,30.9086416040795,31.9816234237376,36.341172945625,34,8,5,48,0.708333333333333,0.104166666666667,0.166666666666667,-0.582985689243892
"10",11,"1975's ""Forever"" was billed as what author's first novel for adults?","Fred Dryer",48.9111111111111,35.6444444444444,26.4222222222222,33.1709225227473,31.2069015935691,29.2034313744191,42,3,1,46,0.91304347826087,0.0217391304347826,0.0652173913043478,0.210939529132236
"11",12,"A California Chumash Indian woman, who appears to have been killed by a blow to the head 9,000 years ago, is the only human ever to be found where?","The La Brea tar pits ",72.9166666666667,68.2708333333333,60.5208333333333,31.8452597316443,31.6252925868785,36.3364827999286,41,5,2,48,0.854166666666667,0.0416666666666667,0.104166666666667,-0.254288777500578
"12",13,"A causeway lined with hundreds of sphinxes once connected Karnak to what other great Egyptian temple?","Luxor",60.8809523809524,61.1904761904762,49.4047619047619,33.4249814425783,30.0123861383751,33.0698149329268,34,7,2,43,0.790697674418605,0.0465116279069767,0.162790697674419,0.300099006075542
"13",14,"A conference on safety held at Columbia University's Teacher College in 1939 led to what change? ","School buses were painted yellow",54.8409090909091,62.7272727272727,45,32.2943894485096,32.4720728930323,34.9344901873659,39,4,1,45,0.866666666666667,0.0222222222222222,0.0888888888888889,-0.0966711246268229
"14",15,"A four-hour restoration of what 1927 epic restored the reputation of forgotten silent film director Abel Gance shortly before his 1981 death?","Napoleon",41.0652173913044,44.9565217391304,36.4565217391304,34.2425350657551,30.8076155965365,32.7133724079239,42,3,2,47,0.893617021276596,0.0425531914893617,0.0638297872340425,0.587011402082099
"16",17,"A two-million gallon tank of what substance exploded in Boston in 1919, resulting in 21 deaths?","Molasses",70.8913043478261,67.9347826086957,63.195652173913,31.8484105731926,32.410836441545,32.4445643899576,37,6,3,46,0.804347826086957,0.0652173913043478,0.130434782608696,-0.253183020676274
"17",18,"About half of the population of what Pacific island has the surname Christian?","Pitcairn Island",63.4318181818182,42.3863636363636,46.75,31.3490459980751,29.664179251336,30.1632187845041,35,4,6,46,0.760869565217391,0.130434782608696,0.0869565217391304,-0.428430102538655
"18",19,"According to Chairman Mao, ""political power grows out of"" what?","The barrel of a gun",52.1086956521739,58.9565217391304,43.8695652173913,32.6028139623081,30.4104927226254,35.543156050483,31,6,9,46,0.673913043478261,0.195652173913043,0.130434782608696,0.0115674223411609
"19",20,"According to Norse sagas, who gave Greenland its misleading name in order to attract settlers? ","Eric the Red",56.9024390243902,54.6829268292683,44.6341463414634,35.1047040138845,31.6736791550889,32.216266153576,29,6,6,42,0.69047619047619,0.142857142857143,0.142857142857143,0.889581107184793
"20",21,"According to StarTrek.com, where was Captain Kirk born?","Riverside, Iowa",49.9387755102041,58.2040816326531,32.4285714285714,33.900226254939,29.426447565524,30.2200264725232,30,11,8,49,0.612244897959184,0.163265306122449,0.224489795918367,0.466881494634835
"22",23,"According to the Guinness Book of Records, what was the loudest rock band ever?","KISS ",73.6511627906977,66.9767441860465,40.1627906976744,30.8466898130942,30.1989343647476,32.9161490490163,31,6,7,44,0.704545454545455,0.159090909090909,0.136363636363636,-0.604727060433013
