Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_TrialEnd,C_Worth,C_Worth_rt,exp,subjectId,date
Walt Disney,3,Which person has been awarded the most Oscars ever? ,349,1.988,0,3612.5999999046326,t,W,1672.9000000953674,7805.599999904633,11831.5,16341.599999904633,,,HRV,HRV_0153,2022-11-30 18:00:48
The La Brea tar pits ,1,"A California Chumash Indian woman, who appears to have been killed by a blow to the head 9,000 years ago, is the only human ever to be found where?",7,1.541,1,16341.699999928474,t,W,4428.0,23286.5,27301.099999904633,29949.0,2,587.9000000953674,HRV,HRV_0153,2022-11-30 18:00:48
Social Security,7,Ida May Fuller was the first U.S. citizen to receive a check for what?,46,0.71,2,29949.099999904633,q,S,1852.4000000953674,,,33028.89999997616,,,HRV,HRV_0153,2022-11-30 18:00:48
The Mini Cooper,3,"With over 5.3 million sold since 1959, what's by far the most successful British car of all time?",394,0.556,3,33028.89999997616,t,W,4024.7999999523163,39565.199999928474,43579.89999997616,46309.799999952316,3,1661.6999999284744,HRV,HRV_0153,2022-11-30 18:00:48
Ampersand (&),7,"What began as a ligature of the letters ""e"" and ""t""?",144,1.462,4,46310.0,q,S,2347.1999999284744,,,50629.39999997616,,,HRV,HRV_0153,2022-11-30 18:00:48
"Gail Borden, Jr. ",3,Who invented condensed milk in 1856? ,414,0.684,5,50629.5,q,S,2019.7999999523163,,,53845.199999928474,,,HRV,HRV_0153,2022-11-30 18:00:48
James Buchanan ,3,Who was the only U.S. president never to be married?,383,0.664,6,53845.199999928474,t,W,1548.5,57910.0,61923.39999997616,65156.39999997616,1,2053.600000023842,HRV,HRV_0153,2022-11-30 18:00:48
Excalibur,7,"According to Thomas Malory, Sir Bedivere's last knightly act is to return what to a lake?",14,0.715,7,65156.39999997616,p,K,3037.399999976158,,,69421.89999997616,,,HRV,HRV_0153,2022-11-30 18:00:48
The Big Bang,6,"Arno Penzias and Robert Wilson shared a Nobel Prize for accidentally discovering ""CMB,"" leftover radiation from what?",22,1.576,8,69422.0,q,S,2499.1999999284744,,,74012.5,,,HRV,HRV_0153,2022-11-30 18:00:48
Fiber is the gut bacteria's preferred fuel source. ,7,What food is most beneficial for your gut bacteria?,458,1.675,9,74012.59999990463,q,S,1589.0,,,77790.19999992847,,,HRV,HRV_0153,2022-11-30 18:00:48
