Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,rsp,C_SWK,C_SWK_rt,C_TrialEnd,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
over 10 billion donuts. ,5,How many donuts are concumed in the US every year?,463,0.504,0,2461.5999999940395,"[{'event': 'fullscreenchange', 'details': 'fullscreenexit', 'performance time': 3126.2000000029802, 'date time': 1669838202924}]",q,S,1788.9000000059605,5285.5999999940395,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Saffron,2,What is the most expensive spice (by weight) in the world?,431,0.511,1,5285.70000000298,,p,K,2425.699999988079,8729.09999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
popscicle,5,What food was invented by an 11 year old in 1905?,450,1.307,2,8729.20000000298,,p,K,2408.0999999940395,12958.39999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Apple sauce,3,What was the first food eaten in space?,435,0.563,3,12958.5,,p,K,1640.7999999970198,15685.39999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Latex. This is known as the latex-fruit syndrome. ,1,Allergy to which material is associated with allergy to fruit such as papaya and banana? ,462,1.475,4,15685.39999999106,,p,K,1510.1000000089407,19188.79999999702,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Violin,3,What instrument was invented to sound like a human singing? ,189,1.835,5,19188.89999999106,,p,K,1662.6000000089407,23205.39999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Gecko,2,What is the only type of lizard that has a voice? ,213,0.974,6,23205.39999999106,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 26073.29999999702, 'date time': 1669838225871}]",,,,32731.39999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Lightning strike,4,Carnivorous animals will not eat another animal that has been killed by what means?,29,0.958,7,32731.5,,,,,42261.5,,,,,HRV,HRV_0272,2022-11-30 20:06:44
"The code is ""SUX"" ",7,Why has Sioux Falls Regional Airport in South Dakota been trying to change its three-letter airport designation for years?,392,0.721,8,42261.5,,,,,51789.20000000298,,,,,HRV,HRV_0272,2022-11-30 20:06:44
South Africa,1,In what country was the largest rough diamond ever discovered?,62,1.888,9,51789.20000000298,,,,,61321.20000000298,,,,,HRV,HRV_0272,2022-11-30 20:06:44
The I Ching,4,"Pink Floyd's ""Chapter 24"" was inspired by what literary work?",80,1.587,10,61321.20000000298,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 68141.29999999702, 'date time': 1669838267938}]",,,,70842.39999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Rafflesia (corpse lily) ,1,What is the largest flower in the world? ,204,1.403,11,70842.5,,p,K,2171.0999999940395,74947.79999999702,,,,,HRV,HRV_0272,2022-11-30 20:06:44
citrus fruit (scurvy is caused by a lack of vitamin c),4,Sailors used to suffer from a horrible illness called scurvy. Which food prevents scurvy?,441,1.127,12,74947.79999999702,,p,K,2800.2999999970198,79398.20000000298,,,,,HRV,HRV_0272,2022-11-30 20:06:44
