Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,C_TrialEnd,exp,subjectId,date
Ohio,5,Which is the only U.S. state that has a pennant-shaped flag instead of a rectangular one?  ,345,0.902,0,47905,57431,HRV,HRV_0126,2022-11-30 18:29:09
A glacial ridge,5,What is an esker? ,198,1.167,1,57431,66944,HRV,HRV_0126,2022-11-30 18:29:09
The crust and the mantle,5,"The ""Mohorovicic discontinuity"" divides what two outer layers of the earth?",87,0.843,2,66944,76461,HRV,HRV_0126,2022-11-30 18:29:09
Japan,3,Where is the longest suspension bridge? ,319,0.524,3,76461,85993,HRV,HRV_0126,2022-11-30 18:29:09
Turkey,1,Which animal was named for what was wrongly thought to be its country of origin? ,326,0.688,4,85993,95514,HRV,HRV_0126,2022-11-30 18:29:09
Excalibur,2,"According to Thomas Malory, Sir Bedivere's last knightly act is to return what to a lake?",14,0.993,5,95514,105043,HRV,HRV_0126,2022-11-30 18:29:09
Luxor,6,A causeway lined with hundreds of sphinxes once connected Karnak to what other great Egyptian temple?,8,0.547,6,105043,114569,HRV,HRV_0126,2022-11-30 18:29:09
Tea leaves,2,Tasseomancy is a method of fortune telling that primarily uses what? ,418,1.258,7,114569,124099,HRV,HRV_0126,2022-11-30 18:29:09
Haddock,7,"If you ordered an Omelet Arnold Bennett, what fish would you find in it?",429,1.739,8,124099,133609,HRV,HRV_0126,2022-11-30 18:29:09
Giant squid,3,What is the largest creature without a backbone? ,203,1.959,9,133609,143118,HRV,HRV_0126,2022-11-30 18:29:09
Kayak,3,An umiak is a larger version of what? ,20,0.781,10,143118,152647,HRV,HRV_0126,2022-11-30 18:29:09
Spanish,5,Which language is spoken in the Canary Islands?   ,346,0.68,11,152647,162178,HRV,HRV_0126,2022-11-30 18:29:09
Albert Einstein,3,Who beat out FDR and Gandhi to be named Time's Person of the Century in 1999? ,361,1.046,12,162178,171692,HRV,HRV_0126,2022-11-30 18:29:09
Rooster,3,What animal is combined with a serpent to make the mythical creature the Cockatrice? ,268,1.009,13,171692,181223,HRV,HRV_0126,2022-11-30 18:29:09
Dragees,2,"What are the sugared almonds, traditionally thrown over the bride and groom at a wedding, called?",430,1.318,14,181223,190741,HRV,HRV_0126,2022-11-30 18:29:09
"the white flesh that houses the seeds, known as the placenta",1,What is the hottest part of a chili?,432,1.712,15,190741,200297,HRV,HRV_0126,2022-11-30 18:29:09
Teapot Dome scandal,6,Albert Fall became the first US cabinet officer to serve jail time for his part in what scandal? ,19,1.57,16,200297,209831,HRV,HRV_0126,2022-11-30 18:29:09
The Hindenburg explosion,2,"What event inspired Herbert Morrison's famous quote ""Oh, the humanity!""?",174,0.591,17,209831,219354,HRV,HRV_0126,2022-11-30 18:29:09
Coca-Cola,1,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,0.952,18,219354,228876,HRV,HRV_0126,2022-11-30 18:29:09
Cygnet ,2,What is the name given to a young swan? ,207,0.93,19,228876,238400,HRV,HRV_0126,2022-11-30 18:29:09
Near Alaska,5,The fictional nation of Brobdingnag from Gulliver's Travels is presumed to be where?,98,1.23,20,238400,247909,HRV,HRV_0126,2022-11-30 18:29:09
Uncle Tom's Cabin ,3,What was the first American novel to sell one million copies? ,281,1.645,21,247909,257439,HRV,HRV_0126,2022-11-30 18:29:09
Untethered space walk,6,Challenger Astronaut Bruce McCandless II became Earth's first human to ever do what?,31,1.626,22,257439,266954,HRV,HRV_0126,2022-11-30 18:29:09
Claudius,2,Which Roman emperor had a speech impediment?  ,351,1.002,23,266954,276485,HRV,HRV_0126,2022-11-30 18:29:09
Black,1,What color lipstick did silent movie stars wear?  ,151,0.756,24,276485,286003,HRV,HRV_0126,2022-11-30 18:29:09
General Electric ,2,What's the only stock from the original Dow Jones Industrial Average that's still used in computing the index?,310,1.537,25,286003,295532,HRV,HRV_0126,2022-11-30 18:29:09
Mountain Dew,5,"What was first marketed with hillbilly-themed advertising, since its name is a euphemism for moonshine?",421,1.97,26,295532,305062,HRV,HRV_0126,2022-11-30 18:29:09
Pepper and Mustard,6,What are the top two most popular spices in the world?,422,0.648,27,305062,314583,HRV,HRV_0126,2022-11-30 18:29:09
Stratosphere,5,"In what layer of the Earth's atmosphere is Antarctica's famed ""ozone hole""? ",64,0.604,28,314583,324116,HRV,HRV_0126,2022-11-30 18:29:09
Molasses,2,"A two-million gallon tank of what substance exploded in Boston in 1919, resulting in 21 deaths?",10,0.508,29,324116,333639,HRV,HRV_0126,2022-11-30 18:29:09
Habanero,5,What chili pepper was believed the hottest in the world until the Naga Jolokia pepper was discovered in India in 2000?,401,1.48,30,333639,343166,HRV,HRV_0126,2022-11-30 18:29:09
Adlai Stevenson,2,Who twice lost presidential elections to Dwight Eisenhower in the 1950s?  ,375,1.964,31,343166,352682,HRV,HRV_0126,2022-11-30 18:29:09
"A peanut is a legume, not a nut",1,What type of food is a peanut?,447,1.171,32,352682,362215,HRV,HRV_0126,2022-11-30 18:29:09
Anne Hathaway,2,What was the name of William Shakespeare's wife?  ,290,1.315,33,362215,371762,HRV,HRV_0126,2022-11-30 18:29:09
Dorito is Spanish for little golden things,4,What does Dorito actually mean?,434,1.507,34,371762,381286,HRV,HRV_0126,2022-11-30 18:29:09
Orville Wright,4,Who was flying the plane in which the first US airplane fatality occurred? ,377,1.397,35,381286,390809,HRV,HRV_0126,2022-11-30 18:29:09
The Stanley Cup ,3,Where is Jacques Plante's name misspelled five of the six times it appears? ,318,1.616,36,390809,400332,HRV,HRV_0126,2022-11-30 18:29:09
As Good As It Gets ,5,"What Jack Nicholson comedy was translated as ""Mr. Cat Poop"" in Cantonese when it was released in China?",218,1.885,37,400332,409850,HRV,HRV_0126,2022-11-30 18:29:09
The dodo,6,"What is believed to have received its name from the Portuguese word for ""simpleton""? ",199,1.115,38,409850,419371,HRV,HRV_0126,2022-11-30 18:29:09
Marven (Marvin) Gardens,6,"What Margate City, NJ, housing area has been misspelled on the Monopoly board for almost 80 years?",229,1.101,39,419371,428897,HRV,HRV_0126,2022-11-30 18:29:09
Luge,2,What sports term is the shortest word ever to decide the National Spelling Bee?   ,261,0.704,40,428897,438413,HRV,HRV_0126,2022-11-30 18:29:09
Botany Bay,2,"What Pacific inlet was called ""Stingray Bay"" until Captain Cook renamed it for ""the great quantity of plants"" his scientists had discovered?",242,1.35,41,438413,447931,HRV,HRV_0126,2022-11-30 18:29:09
Arthur Conan Doyle,4,"What gullible author believed that Harry Houdini had ""wonderful powers"" after Houdini showed him the child's trick of pretending to remove his thumb? ",184,1.583,42,447931,457464,HRV,HRV_0126,2022-11-30 18:29:09
over 10 billion donuts. ,1,How many donuts are concumed in the US every year?,463,1.381,43,457464,466982,HRV,HRV_0126,2022-11-30 18:29:09
Eric the Red,7,"According to Norse sagas, who gave Greenland its misleading name in order to attract settlers? ",12,1.585,44,466982,476511,HRV,HRV_0126,2022-11-30 18:29:09
George Marshall,6,What future secretary of state became America's first five-star general in December 1944? ,181,0.786,45,476511,486044,HRV,HRV_0126,2022-11-30 18:29:09
Dutch Oven,3,"What kind of ""oven"" is the official state cooking pot of Utah? ",220,1.496,46,486044,495577,HRV,HRV_0126,2022-11-30 18:29:09
potein,5,"What nutrient comes from meat, eggs, and fish?",433,1.055,47,495577,505102,HRV,HRV_0126,2022-11-30 18:29:09
the skin and bones of animals,4,What is gelatin made from?,445,0.547,48,505102,514626,HRV,HRV_0126,2022-11-30 18:29:09
Shoe sizes,5,"In Europe, but not the U.S., what are measured in ""Paris Points""?",59,0.709,49,514626,524144,HRV,HRV_0126,2022-11-30 18:29:09
